Station,Day(Local_Date),WDir(Deg),WSpd(m/s),GustDir(Deg),GustSpd(m/s),WindRun(Km),Rain(mm),Tdry(C),TWet(C),RH(%),Tmax(C),Tmin(C),Tgmin(C),ET05(C),ET10(C),ET20(C),ET30(C),ET100(C),Pmsl(hPa),Pstn(hPa),Sun(Hrs),Rad(MJ/m2)
1340,20160302:0000,103,4.5,68,15.4,618,0.0,19.0,17.2,83.0,22.9,18.3,-,-,-,-,-,-,1019.8,1016.6,-,18.41
1340,20160303:0000,72,8.6,74,11.8,462,0.0,20.5,16.9,68.0,23.6,18.5,-,-,-,-,-,-,1028.8,1025.6,-,21.48
1340,20160304:0000,71,4.7,75,8.2,230,0.0,21.2,17.5,68.0,26.9,17.3,-,-,-,-,-,-,1028.5,1025.3,-,24.53
1340,20160305:0000,206,2.3,72,7.2,207,0.0,19.5,17.7,83.0,26.5,16.9,-,-,-,-,-,-,1026.5,1023.3,-,23.29
1340,20160306:0000,217,1.3,230,6.2,175,0.0,19.7,16.6,71.0,26.5,16.0,-,-,-,-,-,-,1025.8,1022.6,-,18.49
1340,20160307:0000,261,1.6,268,10.3,212,0.0,21.0,18.6,78.0,26.9,18.3,-,-,-,-,-,-,1024.8,1021.6,-,17.71
1340,20160308:0000,228,1.1,229,11.3,249,0.0,21.0,18.4,77.0,27.4,18.4,-,-,-,-,-,-,1022.5,1019.3,-,22.29
1340,20160309:0000,216,2.5,240,9.3,259,0.0,19.7,18.6,89.0,26.4,18.0,-,-,-,-,-,-,1023.8,1020.6,-,21.94
1340,20160310:0000,223,1.7,269,9.3,287,0.0,18.4,15.4,71.0,26.1,14.2,-,-,-,-,-,-,1024.8,1021.6,-,23.32
1340,20160311:0000,276,4.6,60,16.5,425,2.2,21.5,19.1,79.0,25.3,18.2,-,-,-,-,-,-,1018.6,1015.4,-,12.54
1340,20160312:0000,81,5.5,71,18.5,530,0.0,17.3,13.9,67.0,21.6,16.2,-,-,-,-,-,-,1029.3,1026.0,-,16.89
1340,20160313:0000,116,1.6,52,9.8,175,0.0,18.9,14.7,61.0,26.9,14.6,-,-,-,-,-,-,1029.8,1026.6,-,23.15
1340,20160314:0000,187,0.3,30,5.1,176,0.0,18.7,15.8,72.0,27.2,14.2,-,-,-,-,-,-,1025.8,1022.6,-,22.66
1340,20160315:0000,294,1.4,256,7.7,208,0.0,18.7,15.4,69.0,25.2,14.9,-,-,-,-,-,-,1020.8,1017.6,-,16.33
1340,20160316:0000,264,1.2,284,7.7,186,6.0,21.6,18.8,75.0,28.2,18.4,-,-,-,-,-,-,1018.5,1015.3,-,11.85
1340,20160317:0000,156,1.4,45,8.8,504,0.2,20.3,19.4,91.0,27.8,17.9,-,-,-,-,-,-,1020.0,1016.8,-,16.02
1340,20160318:0000,52,10.5,48,13.9,802,0.0,21.0,19.2,84.0,26.3,18.9,-,-,-,-,-,-,1021.2,1018.0,-,17.84
1340,20160319:0000,70,8.8,60,13.4,683,0.0,20.4,18.3,81.0,25.6,19.1,-,-,-,-,-,-,1022.6,1019.4,-,14.85
1340,20160320:0000,58,8.5,54,14.9,749,0.0,21.7,19.7,82.0,26.2,18.8,-,-,-,-,-,-,1022.5,1019.3,-,17.33
1340,20160321:0000,72,7.4,61,14.9,817,1.0,21.1,19.2,83.0,25.7,19.3,-,-,-,-,-,-,1021.6,1018.4,-,15.45
1340,20160322:0000,65,9.1,64,16.0,1026,0.2,21.6,19.4,80.0,25.2,19.2,-,-,-,-,-,-,1019.4,1016.2,-,11.64
1340,20160323:0000,57,14.6,38,24.2,1338,7.4,21.1,20.6,95.0,22.3,20.5,-,-,-,-,-,-,1016.5,1013.3,-,3.65
1340,20160324:0000,302,4.3,50,26.3,172,3.0,20.8,20.3,95.0,22.9,20.4,-,-,-,-,-,-,1012.4,1009.2,-,4.43
1340,20160325:0000,209,2.9,141,6.7,193,0.2,19.1,18.7,96.0,25.4,18.2,-,-,-,-,-,-,1014.4,1011.2,-,14.41
1340,20160326:0000,128,1.3,236,5.7,160,0.0,20.0,18.2,83.0,28.7,17.0,-,-,-,-,-,-,1014.6,1011.4,-,15.13
1340,20160327:0000,288,2.2,277,9.3,189,0.0,18.7,17.7,90.0,25.7,16.6,-,-,-,-,-,-,1014.0,1010.8,-,15.38
1340,20160328:0000,253,1.0,232,7.7,166,0.0,19.3,17.7,85.0,24.9,15.9,-,-,-,-,-,-,1017.2,1014.0,-,14.98
1340,20160329:0000,221,1.6,137,7.2,241,0.0,18.9,17.4,85.0,25.8,15.9,-,-,-,-,-,-,1020.2,1017.0,-,19.85
1340,20160330:0000,216,2.7,65,11.3,456,0.0,17.3,14.2,69.0,24.3,16.1,-,-,-,-,-,-,1021.7,1018.5,-,18.93
1340,20160331:0000,62,9.1,49,12.4,799,0.0,20.8,17.1,67.0,25.3,17.1,-,-,-,-,-,-,1024.5,1021.3,-,17.31
1340,20160401:0000,45,9.4,24,14.9,621,7.0,19.9,17.1,74.0,21.9,18.8,-,-,-,-,-,-,1021.7,1018.5,-,4.67
1340,20160402:0000,302,3.5,21,10.8,204,0.0,20.2,19.6,94.0,26.8,18.8,-,-,-,-,-,-,1018.7,1015.5,-,12.77
1340,20160403:0000,311,2.0,240,8.2,208,0.2,20.3,18.9,87.0,25.3,18.2,-,-,-,-,-,-,1018.6,1015.4,-,12.45
1340,20160404:0000,336,1.7,244,9.3,272,0.0,20.6,18.3,79.0,24.5,16.6,-,-,-,-,-,-,1015.4,1012.2,-,16.58
1340,20160405:0000,211,2.9,258,9.8,226,1.2,17.2,15.2,80.0,22.1,14.4,-,-,-,-,-,-,1016.7,1013.5,-,18.22
1340,20160406:0000,79,2.6,75,9.8,233,0.0,18.2,14.4,64.0,21.6,14.4,-,-,-,-,-,-,1022.3,1019.1,-,18.64
1340,20160407:0000,202,2.0,227,6.2,163,0.0,18.2,13.0,52.0,25.3,12.9,-,-,-,-,-,-,1021.5,1018.3,-,16.93
1340,20160408:0000,293,2.9,263,9.8,243,0.0,17.9,15.7,78.0,22.5,13.9,-,-,-,-,-,-,1017.8,1014.6,-,10.78
1340,20160409:0000,220,2.0,216,5.1,149,0.0,17.6,15.0,74.0,21.8,14.9,-,-,-,-,-,-,1020.6,1017.4,-,9.50
1340,20160410:0000,187,1.2,73,9.8,270,19.6,18.5,14.8,65.0,19.5,14.7,-,-,-,-,-,-,1022.0,1018.8,-,3.21
