,Model,Learning Rate,MSE,Num. Epochs
0,seq_model,0.01,0.014748909752644675,10
1,seq_model,0.01,0.014723353586060759,14
2,seq_model,0.005,0.015789425015105427,10
3,seq_model,0.005,0.01508236924893078,14
4,seq_model,0.001,0.017665705016966935,10
5,seq_model,0.001,0.01628294836414066,14
6,deep_bidirectional_lstm_with_dropout,0.01,0.014956436787430699,10
7,deep_bidirectional_lstm_with_dropout,0.01,0.015046962961432485,14
8,deep_bidirectional_lstm_with_dropout,0.005,0.015130698686333965,10
9,deep_bidirectional_lstm_with_dropout,0.005,0.015145058072639031,14
10,deep_bidirectional_lstm_with_dropout,0.001,0.015469865637335795,10
11,deep_bidirectional_lstm_with_dropout,0.001,0.015111549831723355,14
12,single_lstm_dense_output,0.01,0.015020997437087718,10
13,single_lstm_dense_output,0.01,0.014644020067194171,14
14,single_lstm_dense_output,0.005,0.015299858322668733,10
15,single_lstm_dense_output,0.005,0.014551991870565415,14
16,single_lstm_dense_output,0.001,0.01681547308610759,10
17,single_lstm_dense_output,0.001,0.016798526572130337,14
18,two_layer_lstm,0.01,0.01534257215655348,10
19,two_layer_lstm,0.01,0.015196859518908836,14
20,two_layer_lstm,0.005,0.015909093996995857,10
21,two_layer_lstm,0.005,0.016094526337434654,14
22,two_layer_lstm,0.001,0.017492763767801366,10
23,two_layer_lstm,0.001,0.016800001610197204,14
24,lstm_with_dropout,0.01,0.01582968743338673,10
25,lstm_with_dropout,0.01,0.015162547096541638,14
26,lstm_with_dropout,0.005,0.01636257648300026,10
27,lstm_with_dropout,0.005,0.015796947359183428,14
28,lstm_with_dropout,0.001,0.017200464307398314,10
29,lstm_with_dropout,0.001,0.017085983842388085,14
30,bidirectional_lstm,0.01,0.014945603546198581,10
31,bidirectional_lstm,0.01,0.014649816067538603,14
32,bidirectional_lstm,0.005,0.015071546181711807,10
33,bidirectional_lstm,0.005,0.014914147315563772,14
34,bidirectional_lstm,0.001,0.015787987367148502,10
35,bidirectional_lstm,0.001,0.015709830004751006,14
36,deep_lstm_with_dense_layers,0.01,0.0161279718590275,10
37,deep_lstm_with_dense_layers,0.01,0.015924729298520995,14
38,deep_lstm_with_dense_layers,0.005,0.016113012547768493,10
39,deep_lstm_with_dense_layers,0.005,0.015522903203873378,14
40,deep_lstm_with_dense_layers,0.001,0.016884529629874814,10
41,deep_lstm_with_dense_layers,0.001,0.016676514886280313,14
42,shallow_lstm_linear_output,0.01,0.01463094744978621,10
43,shallow_lstm_linear_output,0.01,0.014345265212117507,14
44,shallow_lstm_linear_output,0.005,0.01535475228579404,10
45,shallow_lstm_linear_output,0.005,0.01508615730710458,14
46,shallow_lstm_linear_output,0.001,0.01847372972721646,10
47,shallow_lstm_linear_output,0.001,0.01707400730139292,14
48,bidirectional_lstm_with_recurrent_dropout,0.01,0.015380249204386503,10
49,bidirectional_lstm_with_recurrent_dropout,0.01,0.015447783970471042,14
50,bidirectional_lstm_with_recurrent_dropout,0.005,0.01568238517290517,10
51,bidirectional_lstm_with_recurrent_dropout,0.005,0.01515582051331989,14
52,bidirectional_lstm_with_recurrent_dropout,0.001,0.015721219974972098,10
53,bidirectional_lstm_with_recurrent_dropout,0.001,0.01532497451736192,14
54,bidirectional_lstm_with_dense_layers,0.01,0.01541847179924698,10
55,bidirectional_lstm_with_dense_layers,0.01,0.014640210758402028,14
56,bidirectional_lstm_with_dense_layers,0.005,0.014727717820387426,10
57,bidirectional_lstm_with_dense_layers,0.005,0.014683000540351519,14
58,bidirectional_lstm_with_dense_layers,0.001,0.015717576895113806,10
59,bidirectional_lstm_with_dense_layers,0.001,0.015154429978362109,14
60,very_deep_bidirectional_lstm,0.01,0.015086798669539103,10
61,very_deep_bidirectional_lstm,0.01,0.014883436754476816,14
62,very_deep_bidirectional_lstm,0.005,0.015319475343341745,10
63,very_deep_bidirectional_lstm,0.005,0.01485411526879181,14
64,very_deep_bidirectional_lstm,0.001,0.015112109724904694,10
65,very_deep_bidirectional_lstm,0.001,0.015176611293295623,14
