Station,Day(Local_Date),WDir(Deg),WSpd(m/s),GustDir(Deg),GustSpd(m/s),WindRun(Km),Rain(mm),Tdry(C),TWet(C),RH(%),Tmax(C),Tmin(C),Tgmin(C),ET05(C),ET10(C),ET20(C),ET30(C),ET100(C),Pmsl(hPa),Pstn(hPa),Sun(Hrs),Rad(MJ/m2)
41351,20200101:0000,317,1.8,224,8.2,270,0.0,18.8,16.6,79.0,23.2,13.2,9.3,-,19.7,19.6,-,19.1,1018.6,1016.7,6.9,19.03
41351,20200102:0000,226,3.5,196,11.8,324,0.0,17.8,15.6,78.0,22.8,16.0,13.3,-,19.2,19.6,-,19.1,1014.6,1012.7,9.4,21.61
41351,20200103:0000,266,4.5,216,12.4,432,0.0,20.5,18.3,80.0,23.2,16.9,12.6,-,20.3,19.8,-,19.1,1008.0,1006.1,9.3,20.18
41351,20200104:0000,222,6.5,215,15.4,462,0.0,17.8,13.2,56.0,20.8,16.0,13.8,-,18.4,19.2,-,19.2,1008.7,1006.8,7.2,18.62
41351,20200105:0000,246,3.8,298,11.8,394,3.2,18.0,13.7,59.0,20.0,14.6,11.2,-,18.4,18.5,-,19.2,1012.5,1010.6,4.3,10.36
41351,20200106:0000,227,6.3,255,17.5,574,0.0,16.9,14.4,75.0,20.8,14.8,14.3,-,18.2,18.7,-,19.2,1007.4,1005.5,10.8,25.01
41351,20200107:0000,221,5.9,222,14.4,329,0.2,18.1,12.4,47.0,19.9,14.6,11.8,-,18.1,18.1,-,19.2,1010.3,1008.4,6.1,16.02
41351,20200108:0000,224,1.7,217,10.3,238,0.0,15.8,13.7,78.0,20.7,12.5,7.0,-,17.3,17.7,-,19.0,1015.7,1013.8,6.4,17.28
41351,20200109:0000,211,2.5,257,11.3,302,0.0,17.2,14.0,68.0,21.4,11.9,6.2,-,17.5,18.0,-,19.0,1018.2,1016.3,7.7,18.48
41351,20200110:0000,214,4.8,211,11.8,322,0.0,17.5,13.9,65.0,21.5,13.2,9.7,-,17.6,17.9,-,19.0,1021.5,1019.6,10.2,22.95
41351,20200111:0000,183,2.3,180,7.2,170,0.0,17.4,15.0,76.0,24.1,10.7,7.1,-,18.1,18.0,-,18.9,1021.1,1019.2,13.4,26.66
41351,20200112:0000,317,0.8,164,8.2,134,0.0,17.1,15.4,83.0,26.6,10.0,5.5,-,18.7,18.4,-,18.9,1018.5,1016.6,13.7,28.49
41351,20200113:0000,262,1.0,250,11.8,215,0.0,17.9,16.0,81.0,25.5,10.6,6.1,-,19.0,18.8,-,18.9,1017.9,1016.0,9.1,19.90
41351,20200114:0000,187,1.9,66,7.7,184,0.8,18.0,15.5,76.0,22.0,14.8,14.3,-,19.3,19.4,-,18.9,1017.9,1016.0,3.0,13.32
